bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1007890021.00000000,231 WEST 39 STREET,218558,1911,"JORDAN SCHUR PROPERTIES,",,40.7549239,-73.9896337,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/21,False,,Unknown,,,,,,,231 WEST 39 STREET
1007890062.00000000,240 WEST 40 STREET,137199,1923,240 W 40 LLC,,40.7552149,-73.9895687,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/62,True,MTGE,Mortgage,,4400000,,Document ID: FT_1810000065981,FT_1810000065981,PA,240 WEST 40 STREET
1007890036.00000000,550 7 AVENUE,225981,1924,"550 ADLER REALTY RL, LLC",,40.7544600,-73.9885149,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/36,True,MTGE,Mortgage,,24418483.47,,Document ID: FT_1820007878482,FT_1820007878482,PA,550 7 AVENUE
1008140001.00000000,525 7 AVENUE,411074,1925,525 DELAWARE LLC,,40.7535020,-73.9881938,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/814/1,True,MTGE,Mortgage,,2000000,,Document ID: FT_1570005880857,FT_1570005880857,PA,525 7 AVENUE
1007890052.00000000,218 WEST 40 STREET,146486,1923,218 W 40TH ASSOCIATES LLC,,40.7549980,-73.9890562,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/52,True,MTGE,Mortgage,,21000000,,Document ID: FT_1190007319419,FT_1190007319419,PA,218 WEST 40 STREET
1009930055.00000000,1441 BROADWAY,494868,1929,LECHAR 1441 LLC,,40.7549978,-73.9871685,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/993/55,True,MTGE,Mortgage,,4000000,,Document ID: FT_1860000108786,FT_1860000108786,PA,1441 BROADWAY
1007890030.00000000,205 WEST 39 STREET,229162,1922,205 WEST 39TH ST COMPANY,,40.7547098,-73.9888216,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/30,True,MTGE,Mortgage,,54785.67,,Document ID: FT_1970004158497,FT_1970004158497,PA,205 WEST 39 STREET
1010130042.00000000,221 WEST 41 STREET,235300,1921,YS 220W42 OWNER LLC,,40.7561726,-73.9881573,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1013/42,True,MTGE,Mortgage,,2500000,,Document ID: FT_1520000084852,FT_1520000084852,PA,221 WEST 41 STREET
1010120015.00000000,230 WEST 41 STREET,268420,1923,"230 WEST 41ST STREET, LLC",,40.7555442,-73.9889190,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1012/15,True,MTGE,Mortgage,,4731153.63,,Document ID: FT_1900007006190,FT_1900007006190,PA,230 WEST 41 STREET
1010140055.00000000,250 WEST 43 STREET,238818,1929,250 WEST 43 OWNER LLC,,40.7573282,-73.9885000,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1014/55,True,MTGE,Mortgage,2015-01-22T00:00:00.000,21000000,2015000035394,CRFN: 2015000035394,2015012901066004,CR,250 WEST 43 STREET
1007830070.00000000,250 WEST 34 STREET,2689635,1972,KORPENN LLC,,40.7512626,-73.9923737,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/783/70,True,MTGE,Mortgage,,5500000,,Document ID: FT_1730000136873,FT_1730000136873,PA,250 WEST 34 STREET
1007800036.00000000,370 7 AVENUE,332383,1921,"370 SEVENTH AVENUE FEE OWNER, LLC",,40.7489104,-73.9925544,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/780/36,True,MTGE,Mortgage,,8350000,,Document ID: FT_1510000242351,FT_1510000242351,PA,370 7 AVENUE
1008060076.00000000,371 7 AVENUE,473391,1929,CYH MANHATTAN LLC,,40.7487045,-73.9916630,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/806/76,True,MTGE,Mortgage,,50000000,,Document ID: FT_1960005642596,FT_1960005642596,PA,371 7 AVENUE
1008060058.00000000,128 WEST 31 STREET,384655,1925,VBGO PENN PLAZA FEE LLC,,40.7481884,-73.9907716,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/806/58,True,MTGE,Mortgage,,300000,,Document ID: FT_1890006238089,FT_1890006238089,PA,128 WEST 31 STREET
1005810063.00000000,225 VARICK STREET,299592,1926,NEW REMAINDERMAN 225 VARICK LLC,,40.7290028,-74.0056574,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/581/63,True,MTGE,Mortgage,,545000,,Document ID: FT_1710000079371,FT_1710000079371,PA,225 VARICK STREET
1010160036.00000000,1515 BROADWAY,1721814,1970,1515 BROADWAY OWNER LLC,,40.7579291,-73.9864388,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1016/36,True,MTGE,Mortgage,,16000000,,Document ID: FT_1980000227598,FT_1980000227598,PA,1515 BROADWAY
1007840019.00000000,225 WEST 34 STREET,461386,1924,14 SO. WILLIAMSPORT HOLDINGS LLC,,40.7518637,-73.9917095,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/19,True,MTGE,Mortgage,,1500000,,Document ID: FT_1940007299594,FT_1940007299594,PA,225 WEST 34 STREET
1007860023.00000000,229 WEST 36 STREET,130000,1921,CA 36TH STREET HOLDINGS LLC,,40.7530137,-73.9908612,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/23,True,MTGE,Mortgage,,150000,,Document ID: FT_1710000098271,FT_1710000098271,PA,229 WEST 36 STREET
1007860001.00000000,520 8 AVENUE,754487,1926,NEW 520 GSH LLC,,40.7535737,-73.9918826,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/1,True,MTGE,Mortgage,,8000000,,Document ID: FT_1780000402878,FT_1780000402878,PA,520 8 AVENUE
